objname,dist_parsec,vgsr(km/s)
NGC3095,31.0455958813,2516
UGC05376,40.926065973,1915
NGC3094,44.6683592151,2308
ESO567-006,77.6247116629,3524
IC2536,28.8403150313,2511
IC2537,35.1560440528,2576
IC2539,31.1888958409,2620
NGC3120,21.5774440915,2570
NGC3136,24.3220400907,1490
NGC3124,37.3250157796,3364
UGC05459,20.9893988362,1160
ESO435-044,45.498806015,1984
IC2554,24.6603933723,1183
NGC3145,49.4310686987,3472
NGC3136B,21.0862814993,1567
ESO435-050,46.7735141287,2500
NGC3157,30.6196343369,2623
ESO263-015,30.9029543251,2301
IC2556,37.4973002245,2286
NGC3153,46.3446919736,2704
ESO436-001,38.3707245492,2401
NGC3169,20.1372424986,1096
UGC05524,25.9417936212,1571
IC2559,34.6736850453,2768
IC2560,30.3389118419,2705
NGC3147,49.659232145,2937
IC0600,24.0990542869,1151
NGC3190,24.3220400907,1248
NGC3155,48.5288500162,3070
NGC3193,33.7287308659,1299
NGC3223,34.6736850453,2677
ESO263-031,27.5422870334,2459
NGC3226,23.3345806228,1235
NGC3227,20.3235701094,1071
ESO436-014,45.498806015,3676
NGC3241,40.1790810849,2802
ESO317-023,41.1149721105,2534
UGC05642,41.686938347,2222
NGC3250,42.2668614266,2577
IC0610,29.2415237784,1102
ESO568-012,79.7994687268,5500
ESO375-026,39.0840895792,2910
PGC030719,147.910838817,9595
NGC3250C,42.0726628384,2373
NGC3257,34.0408189701,2988
NGC3258,31.7687407065,2584
NGC3256B,32.6587832172,2489
NGC3254,36.307805477,1328
ESO501-001,53.2108259267,3603
NGC3268,34.5143739336,2583
UGC05689,46.7735141287,2952
UGC05708,23.0144181741,1047
ESO317-041,90.3649473722,5649
NGC3258C,32.8095293113,2346
NGC3270,83.5603018231,6195
ESO263-051,27.5422870334,2445
IC2588,49.2039535681,3308
IC2589,25.8226019063,3465
ESO436-034,75.5092227665,3418
ESO501-011,58.6138164514,3567
NGC3285,67.6082975392,3183
ESO436-038,67.2976656284,2546
ESO436-039,66.3743070402,3278
NGC3281D,30.4789498963,2428
ESO436-040,44.2588372363,4222
NGC3252,20.2301917868,1274
NGC3285B,41.304750199,2750
UGC03137,22.181964198,1142
UGC03371,21.8776162395,953
NGC3366,41.8793565118,2666
ESO501-022,56.234132519,2695
ESO437-004,48.7528490103,3094
NGC3309,53.9510622515,3886
NGC3311,44.2588372363,3630
ESO501-037,40.1790810849,3470
ESO437-012,40.1790810849,3356
ESO437-014,38.0189396321,2648
ESO501-041,59.9791076256,3349
NGC3318,33.7287308659,2554
NGC3306,43.651583224,2847
UGC05765,39.0840895792,1934
ESO437-018,63.9734835483,3158
ESO437-019,65.4636174067,4160
ESO019-003,26.5460556198,1812
ESO437-022,66.6806769214,4180
ESO437-025,72.4435960075,3192
